"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2002","2002",52199,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2003","2003",53598,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2004","2004",55293,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2005","2005",54602,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2006","2006",55904,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2007","2007",56467,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2008","2008",56548,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2009","2009",56912,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2010","2010",57838,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2011","2011",58545,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2012","2012",58311,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2013","2013",58567,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2014","2014",60340,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2000","2000",10901,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2001","2001",11175,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2002","2002",10619,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2003","2003",10715,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2004","2004",10763,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2005","2005",11167,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2006","2006",11551,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2008","2008",11784,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2009","2009",11755,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2010","2010",11882,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2011","2011",11980,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2012","2012",12299,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2013","2013",12428,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2014","2014",12578,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2000","2000",13564,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2001","2001",13573,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2002","2002",13835,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2003","2003",13927,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2004","2004",13583,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2005","2005",12946,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2006","2006",12876,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2008","2008",12901,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2009","2009",13171,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2010","2010",13512,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2011","2011",14051,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2012","2012",14590,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2013","2013",15515,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2014","2014",16101,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2000","2000",63674,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2001","2001",63114,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2002","2002",63092,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2003","2003",62806,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2004","2004",63206,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2005","2005",63248,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2006","2006",63354,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2007","2007",64307,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2008","2008",64018,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2009","2009",64069,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2010","2010",64008,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2011","2011",64417,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2012","2012",64691,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2013","2013",64825,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2014","2014",64815,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2015","2015",65138,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2000","2000",54869,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2001","2001",54305,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2002","2002",53881,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2003","2003",53247,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2004","2004",53035,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2005","2005",52870,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2006","2006",52679,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2007","2007",52922,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2008","2008",52364,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2009","2009",51967,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2010","2010",51504,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2011","2011",51189,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2012","2012",50541,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2013","2013",49792,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2014","2014",49395,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2015","2015",48860,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUT","Austria","2000","2000",4719,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUT","Austria","2001","2001",4580,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUT","Austria","2002","2002",4562,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUT","Austria","2003","2003",4626,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUT","Austria","2004","2004",4807,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUT","Austria","2005","2005",4913,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUT","Austria","2006","2006",5007,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUT","Austria","2007","2007",5352,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUT","Austria","2008","2008",5145,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUT","Austria","2009","2009",5146,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUT","Austria","2010","2010",5276,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUT","Austria","2011","2011",5273,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUT","Austria","2012","2012",5251,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUT","Austria","2013","2013",5279,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUT","Austria","2014","2014",5263,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUT","Austria","2015","2015",5294,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2000","2000",3027,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2001","2001",2936,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2002","2002",3133,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2003","2003",3130,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2004","2004",2977,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2005","2005",2946,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2006","2006",3112,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2007","2007",3422,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2008","2008",3294,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2009","2009",3456,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2010","2010",3447,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2011","2011",3857,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2012","2012",3932,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2013","2013",4309,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2014","2014",4775,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2015","2015",5495,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2000","2000",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2001","2001",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2002","2002",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2003","2003",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2004","2004",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2005","2005",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2006","2006",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2007","2007",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2008","2008",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2009","2009",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2010","2010",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2011","2011",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2012","2012",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2013","2013",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2014","2014",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2015","2015",0,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2000","2000",47549,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2001","2001",47252,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2002","2002",47124,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2003","2003",46656,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2004","2004",46555,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2005","2005",46350,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2006","2006",45941,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2007","2007",46412,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2008","2008",45801,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2009","2009",45778,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2010","2010",45367,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2011","2011",45381,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2012","2012",45107,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2013","2013",45029,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2014","2014",44823,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2015","2015",45097,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2000","2000",11565,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2001","2001",11332,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2002","2002",11311,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2003","2003",11150,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2004","2004",11203,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2005","2005",11182,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2006","2006",11218,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2007","2007",11451,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2008","2008",11526,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2009","2009",11493,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2010","2010",11519,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2011","2011",11450,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2012","2012",11417,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2013","2013",11318,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2014","2014",11263,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2015","2015",11223,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2000","2000",4560,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2001","2001",4530,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2002","2002",4657,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2003","2003",5000,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2004","2004",5448,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2005","2005",5716,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2006","2006",6195,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2007","2007",6444,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2008","2008",6691,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2009","2009",6798,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2010","2010",7122,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2011","2011",7586,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2012","2012",8167,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2013","2013",8478,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2014","2014",8729,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2015","2015",8818,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2000","2000",79639,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2001","2001",78763,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2002","2002",78272,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2003","2003",77905,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2004","2004",77881,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2005","2005",77799,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2006","2006",70714,"B","Break"
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2007","2007",70461,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2008","2008",70410,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2009","2009",70265,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2010","2010",70170,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2011","2011",70138,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2012","2012",70032,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2013","2013",69940,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2014","2014",69924,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2015","2015",69730,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2016","2016",69464,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2000","2000",74962,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2001","2001",73751,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2002","2002",73111,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2003","2003",72462,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2004","2004",72442,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2005","2005",72274,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2006","2006",65050,"B","Break"
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2007","2007",64619,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2008","2008",64594,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2009","2009",64354,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2010","2010",64168,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2011","2011",64112,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2012","2012",63802,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2013","2013",63674,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2014","2014",63683,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2015","2015",63692,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2016","2016",63540,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","BEL","Belgium","2000","2000",26567,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","BEL","Belgium","2001","2001",25944,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","BEL","Belgium","2002","2002",25672,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","BEL","Belgium","2003","2003",25686,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","BEL","Belgium","2004","2004",25840,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","BEL","Belgium","2005","2005",26201,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","BEL","Belgium","2006","2006",19259,"B","Break"
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","BEL","Belgium","2007","2007",19138,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","BEL","Belgium","2008","2008",19236,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","BEL","Belgium","2009","2009",19274,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","BEL","Belgium","2010","2010",19297,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","BEL","Belgium","2011","2011",19317,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","BEL","Belgium","2012","2012",19394,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","BEL","Belgium","2013","2013",19447,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","BEL","Belgium","2014","2014",19483,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","BEL","Belgium","2015","2015",19595,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","BEL","Belgium","2016","2016",19674,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2000","2000",1818,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2001","2001",1995,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2002","2002",2062,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2003","2003",2079,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2004","2004",1923,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2005","2005",1897,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2006","2006",1875,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2007","2007",1888,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2008","2008",1823,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2009","2009",1824,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2010","2010",1855,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2011","2011",1807,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2012","2012",1753,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2013","2013",1753,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2014","2014",1728,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2015","2015",1499,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2016","2016",1259,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","BEL","Belgium","2000","2000",2859,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","BEL","Belgium","2001","2001",3017,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","BEL","Belgium","2002","2002",3099,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","BEL","Belgium","2003","2003",3364,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","BEL","Belgium","2004","2004",3516,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","BEL","Belgium","2005","2005",3628,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","BEL","Belgium","2006","2006",3789,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","BEL","Belgium","2007","2007",3954,,
